similarity,post,app,clone_range
93,24826057,AcDisplay/3.0.5/AcDisplay-3.0.5/project/app/src/main/java/com/achep/acdisplay/utils/BitmapUtils.java,47-284
93,25590897,Android-Remote/master/Android-Remote-master/app/src/de/qspool/clementineremote/utils/Security.java,77-91
100,25590897,Android-Remote/master/Android-Remote-master/app/src/de/qspool/clementineremote/utils/Security.java,102-123
100,6963661,AndroidCaldavSyncAdapater/v1.5/AndroidCaldavSyncAdapater-1.5/CalDAVSyncAdapter/src/org/gege/caldavsyncadapter/caldav/EasyX509TrustManager.java,46-58
100,7269278,Anki-Android/v2.0.2beta2/Anki-Android-2.0.2beta2/src/com/ichi2/libanki/Utils.java,1213-1233
100,7269278,Anki-Android/v2.1alpha8/Anki-Android-2.1alpha8/src/com/ichi2/libanki/Utils.java,1191-1211
100,7269278,Anki-Android/v2.2alpha20/Anki-Android-2.2alpha20/src/com/ichi2/libanki/Utils.java,1191-1211
100,7269278,Anki-Android/v2.2alpha38/Anki-Android-2.2alpha38/src/com/ichi2/libanki/Utils.java,1191-1211
100,7269278,Anki-Android/v2.2alpha64/Anki-Android-2.2alpha64/src/com/ichi2/libanki/Utils.java,1192-1212
100,7269278,Anki-Android/v2.2beta16/Anki-Android-2.2beta16/src/com/ichi2/libanki/Utils.java,1191-1211
100,7269278,Anki-Android/v2.2beta8/Anki-Android-2.2beta8/src/com/ichi2/libanki/Utils.java,1191-1211
100,7269278,Anki-Android/v2.3alpha20/Anki-Android-2.3alpha20/src/com/ichi2/libanki/Utils.java,1197-1217
100,7269278,Anki-Android/v2.3alpha33/Anki-Android-2.3alpha33/src/com/ichi2/libanki/Utils.java,1197-1217
100,7269278,Anki-Android/v2.4alpha11/Anki-Android-2.4alpha11/AnkiDroid/src/main/java/com/ichi2/libanki/Utils.java,1197-1217
100,7269278,Anki-Android/v2.4beta15/Anki-Android-2.4beta15/AnkiDroid/src/main/java/com/ichi2/libanki/Utils.java,1199-1219
92,8327136,Atomic/v1.13/Atomic-1.13/libs/ActionBarSherlock/src/com/actionbarsherlock/internal/widget/ScrollingTabContainerView.java,242-255
93,8849983,BetterBatteryStats/v1.11.0.0RC7/BetterBatteryStats-1.11.0.0RC7/BetterBatteryStats/src/com/asksven/betterbatterystats/AbstractChart.java,217-230
100,9288380,BetterBatteryStats/v1.11.0.0RC7/BetterBatteryStats-1.11.0.0RC7/BetterBatteryStats/src/com/asksven/betterbatterystats/AbstractChart.java,87-101
100,9288380,BetterBatteryStats/v1.11.0.0RC7/BetterBatteryStats-1.11.0.0RC7/BetterBatteryStats/src/com/asksven/betterbatterystats/AbstractChart.java,59-72
93,8849983,BetterBatteryStats/v1.8.1.0/BetterBatteryStats-1.8.1.0/BetterBatteryStats/src/com/asksven/betterbatterystats/AbstractChart.java,217-230
100,9288380,BetterBatteryStats/v1.8.1.0/BetterBatteryStats-1.8.1.0/BetterBatteryStats/src/com/asksven/betterbatterystats/AbstractChart.java,87-101
100,9288380,BetterBatteryStats/v1.8.1.0/BetterBatteryStats-1.8.1.0/BetterBatteryStats/src/com/asksven/betterbatterystats/AbstractChart.java,59-72
99,23349354,Clover/v1.2.3/Clover-1.2.3/Clover/app/src/main/java/org/floens/chan/ui/SwipeDismissListViewTouchListener.java,187-317
100,23349354,Clover/v1.2.3/Clover-1.2.3/Clover/app/src/main/java/org/floens/chan/ui/SwipeDismissListViewTouchListener.java,165-176
100,23349354,Clover/v1.2.3/Clover-1.2.3/Clover/app/src/main/java/org/floens/chan/ui/SwipeDismissListViewTouchListener.java,319-335
92,25016142,DroidBeard/v1.3.1/DroidBeard-1.3.1/app/src/main/java/com/rastating/droidbeard/fragments/NavigationDrawerFragment.java,169-234
92,21212718,DroidUPnP/v2.0.0a2/DroidUPnP-2.0.0a2/src/main/java/org/droidupnp/DrawerFragment.java,100-166
92,14153786,MyExpenses/r112/MyExpenses-r112/src/org/totschnig/myexpenses/util/Utils.java,381-398
92,14153786,MyExpenses/r86/MyExpenses-r86/src/org/totschnig/myexpenses/util/Utils.java,349-366
94,8327136,OpenLaw/v0.3.1/OpenLaw-0.3.1/extern/viewPageIndicator/src/com/viewpagerindicator/TabPageIndicator.java,238-254
