helsinki-testbed2-android,Mikko Vestola
tasks,Alex Baker^Alexey-V^Andrey Marchenko^Corey Downing^Jacek Sowiński^Jeff Chern^Joachim Mailänder^Johan Walles^Jon^Joshua Gross^Kevin D Jones^Khaled Sa^KrodukCZ^Kyle Altendorf^MPK44^Marco Paga^Paul Sarbinowski^StingerAJ^Tim Su^amytang0^atshaw^bigwave^eparvand^jimmyscott^melissayu^rip238
sudowars,Moritz Lüdecke^adrianvielsack^philipflohr
connectbot,AgentHH^Alex^Arthur Hsu^Casey Burkhardt^Clark Boylan^Darren Salt^Douglas Thrift^Georg Lukas^Hartmut Goebel^Jeff Sharkey^Jeremy Klein^Joel Blumen^John Heroy^Julian Brost^Kenny Root^Kensuke Matsuzaki^Marc K.^Matt Johnston^Mladen Pejaković^Paul Evans^Perry^Ryan Hansberry^Sam Blackshear^SweetLion^Torne Wuff^Trygve Aaberge^Yaron Shahrabani^khorimoto^pcc^toff
epmobile,David Mann
TintBrowser,Anasthase^PromyLOPh^dregov
ShowMeHills,nikcain^wardies
ad-away,0-kaladin^Bob Igo^Cadi^Dennis123789^Dominik Schürmann^Dāvis Mošenkovs^Jan Chren^Joery Zegers^Lo Huot^Matthias Urhahn^Phoenix09^Terence Eden^William Budington^strel
screen-notifications,Jan Bollacke^Luke Korth
androidclient,Alex^Andrea Cappelli^Aracnus^Danial Behzadi^Daniele Ricci^Hysyn Hejdyri Nysyb^J'informatique^Josh4all^LuPa^Manizuca^Markus Büttner^Mars Fohroer^Mladen Pejaković^Mohammad Parvin^Neofytos Kolokotronis^Sebastian Pipping^Slobodan Simić^Suso Comesaña^Sylvia van Os^Viktor Filinkov^Xinxin Jin^gpalleschi^larjona^naofum^necik^njean42^relan^utkb^wadah79^webratte
openlaw,Jason Lally^Sean Knox
SafeSlinger-Android,Michael Farb^SafeSlinger Project^Vinay Ramkrishnan
NFC-Key,Mateusz Szafraniec^Patrick Neumann
FBReaderJ,Ahmed Saidi^Alex Turkin^Alexey Borzenkov^Alexey Stukalov^Alfonso Montero^Andrey Tumanov^Danie Roux^Dennis Sheil^Dmitri Yuranov^Dmitriy Kazimirov^Frank Fesevur^Igor Marques^Lidia Alekseeva^MaDill^Mathias Monnerville^Max Lyashuk^Mikhail Sobolev^Nikolay Pultsin^Shelley Shyan^Steven Huang^TAKAHASHI Tamotsu^Tomasz Długosz^Trottel^Vasiliy Bout^Yury Chernyavskiy^dlmv^itkach^sabulous^www.bibliotecaortodoxa.ro^Андрей
BetterBatteryStats,Adam Shanks^Ali Shariat^Andrey Khitryy^Daniel Velazco^Devarajan Narayanan^Eric Mourougandy^GitSpoon^Hrvoje^Jonas Kalderstam^Kevin^Keyan Mobli^Koushik Dutta^Lukáš Lipták^Matthias B.^Michael^Minty123^NitroG42^PoonChiTim^Rafi Khardalian^Stefano^Steve Kondik^Takuo Kitame^The Gitter Badger^Tomáš Procházka^asksven^gaich^mag01^marbat87^nobnut^vldesco
sophia_oss,Huan Truong
AnySoftKeyboard,Aleś Bułojčyk^Andrew Shadura^Chahk^Daniele Gobbetti^Hugo Lopes^Jorge (Hezi^Lado Kumsiashvili^Matthias Blümel^Menny Even Danan^Pander^Simon Volpert^TheNetStriker^Tito^kati42^lubekgc
transdroid,Alexander Meshcheryakov^Dan Pasanen^Daniel Kimsey^Eric Kok^Florian Schmaus^Gabor Foldvari^Hadley Canine^Johan Deckmar^Jonas Kalderstam^Mathijs van de Nes^Pedro Larroy^Phil Dykman^Piotr Gąsior^Tom Briden^strudlez
MyExpenses,Ayman Abdel Ghany^Michael Totschnig^Tulliver^bountysource-support^christoft^gudrunto^kas70^lauco74
logmein-android,Ashish Bansal (mr.phantom^Bitdeli Chef^Making GitHub Delicious.^Shubham Chaudhary^Tanjot^Varun^vivekagg
vimtouch,David Tao^Jack Palevich^Nathaniel Wesley Filardo^Vytautas Šaltenis
smsdroid,Boris Wachtmeister^Check your git settings!^David Strauss^Felix Bechstein^Lado Kumsiashvili^Marek Wehmer^Sebastian Wilzbach^Yepang Liu^apictor^bluebrother^mikebl71^xim737
PhotoPhase,Jorge Ruesga^Michael Bestas^ciwrl^djMesias^maniac103
TransportsRennes,Guiheux Steven^Jean-Louis Jouannic^Yan Bonnel
DroidBeard,Daniele Venturino^Rob^serramat
Pixelesque,RJ
AndroidCaldavSyncAdapater,Andrew Engelbrecht^David Boho^David Lechner^Gérald GARCIA^timoberger^yvesf
FasterGPS,Ciaran Gultnieks^Dominik Schürmann
AlarmClock,Andy McFadden^Brad Fitzpatrick^Daniel Sandler^Jack Palevich^Jeff Brown^Jeff Hamilton^Kenny Root^Mike Lockwood^RoboErikG^Romain Guy^Yuriy Kulikov^chethaase^dmitriplotnikov^sheremi^wangying1015
k-9,Andrew Chen^Andrew Gaul^András Veres-Szentkirályi^Apoorv Khatreja^Art O Cathain^Ashley Willis^Bao-Long Nguyen-Trong^Bradley Young^Daniel I. Applebaum^Dominik Schürmann^Eon Jeong^Erkan^Fiouz^Jan Berkel^Jan Urbánek^Jani Kinnunen^Jesse Vincent^Koji Arai^Marcus Wolschon^Matthew Brace^Philip^Thialfihar^Vincent Breitmoser^cketti^dzan^m0vie^maniac103^pyler^tobiasbaum^zjw
dmix,Arnaud Barisain-Monrose^Avuton Olrich^Benoit Duffez^Damian Nowak^Daniel^Daniel Iñigo^Daniel Schoepe^Dennis Reimers^Felix Bechstein^Frank Tang^Guillaume Revaillot^John Bäckstrand^Jörg Thalheim^Kent Gustavsson^Konstantin Zudov^MaDill^Matt Black^Michael Schuerig^Nick Steel^Pander^Phil Chandler^Philippe Arnone^Stefan Richter^hurzl^jcnoir^jcsaaddupuy^jpeitz^lauregch^psergy^rcohen2000
toposuite-android,Kevin Gillieron^Robin Hahling
mirakel-android,Alexander Käßner^Anatoly Zelenin^Georg Semmler^Jörg Thalheim^Kevin Gaudin^Mirakel^codingdave^rsudev
SmartReceiptsLibrary,Akhyar Amarullah^Will Baumann
PinDroid,Dima Gerasimov^Helge Plaschke^crasm^jslag^maxpower47
afwall,/usr/local/ΕΨΗΕΛΩΝ^Adam Mróz^CHEF-KOCH^Germain Z.^Gitoffthelawn^Kevin Cernekee^Kunal Gupta^Magissia^Phylon^Richard Hansen^Sanket^Yongce Tu^an0n981^shenm233^ukanth
WalletCordova,Bit451^David Dworken^GreenAddress^Jerzy Kozera^Nicolas Bacca
Anki-Android,Antoine Schweitzer-Chaput^Brennan D'Aguilar^Casey Link^Cyril Michel HANSEN^Daniel Svärd^Diogo Kersting^Edu Zamora^Flavio Lerda^Jan Berkel^Jean-Michel Fayard^Jordi Chacón^Kieran Clancy^Konstantinos Spyropoulos^Leonidas Spyropoulos^M U^Martin André^Nicolas Raoul^Pablo Roman^Paolo G. Giarrusso^Patrik Ackland^Rick Gruber-Riemer^Tomasz Mirski^Vincent van Ravesteijn^Zak van der Merwe^greencrab^grizzancs^ingmar-^marek-jasovsky^nobnago^travis
Subsonic,Aaron^Ben Gadbois^Caleb Gingles^Debugs^François-Xavier Thomas^Kurt Hardin^Mark Avenius^MarkAdamson^Patrik Johansson^Scott Jackson^Scott Moak^Surfoo^Thomas Durieux^Thomas Knepper^Tom Briden^YSmhXQDd6Z^mike-s123
